District,Price,Prev_Month,Prev_Year,Change_M,Change_Y,Crop,Rainfall_mm,Month_Year
Belgaum,4876.00,5997.00,4978.00,-18.7%,-2.0%,Groundnut,176.0,"October, 2022"
Belgaum,5997.00,5523.00,4422.00,+8.6%,+35.6%,Groundnut,183.3,"September, 2022"
Belgaum,5523.00,5509.00,5547.00,+0.3%,-0.4%,Groundnut,279.4,"August, 2022"
Belgaum,5509.00,6208.00,5173.00,-11.3%,+6.5%,Groundnut,337.3,"July, 2022"
Belgaum,6208.00,6185.00,5194.00,+0.4%,+19.5%,Groundnut,185.3,"June, 2022"
Belgaum,6185.00,6053.00,5443.00,+2.2%,+13.6%,Groundnut,296.3,"May, 2022"
Belgaum,6053.00,5842.00,5301.00,+3.6%,+14.2%,Groundnut,35.6,"April, 2022"
Belgaum,5842.00,5661.00,5749.00,+3.2%,+1.6%,Groundnut,3.7,"March, 2022"
Belgaum,5661.00,5511.00,5137.00,+2.7%,+10.2%,Groundnut,0.0,"February, 2022"
Belgaum,5511.00,5538.00,4249.00,-0.5%,+29.7%,Groundnut,0.6,"January, 2022"
Belgaum,5538.00,5796.00,4100.00,-4.5%,+35.1%,Groundnut,16.2,"December, 2021"
Belgaum,5796.00,4978.00,4007.00,+16.4%,+44.6%,Groundnut,107.1,"November, 2021"
Belgaum,4978.00,4422.00,3505.00,+12.6%,+42.0%,Groundnut,150.3,"October, 2021"
Belgaum,4422.00,5547.00,4048.00,-20.3%,+9.2%,Groundnut,188.2,"September, 2021"
Belgaum,5547.00,5173.00,5065.00,+7.2%,+9.5%,Groundnut,129.5,"August, 2021"
Belgaum,5173.00,5194.00,5691.00,-0.4%,-9.1%,Groundnut,493.5,"July, 2021"
Belgaum,5194.00,5443.00,5204.00,-4.6%,-0.2%,Groundnut,578.7,"June, 2021"
Belgaum,5443.00,5301.00,5264.00,+2.7%,+3.4%,Groundnut,186.4,"May, 2021"
Belgaum,5301.00,5749.00,5129.00,-7.8%,+3.4%,Groundnut,16.5,"April, 2021"
Belgaum,5749.00,5137.00,5399.00,+11.9%,+6.5%,Groundnut,1.4,"March, 2021"
Belgaum,5137.00,4249.00,4561.00,+20.9%,+12.6%,Groundnut,1.8,"February, 2021"
Belgaum,4249.00,4100.00,3144.00,+3.6%,+35.1%,Groundnut,64.2,"January, 2021"
Belgaum,4100.00,4007.00,-,+2.3%,-,Groundnut,2.5,"December, 2020"
Belgaum,4007.00,3505.00,-,+14.3%,-,Groundnut,6.4,"November, 2020"
Belgaum,3505.00,4048.00,-,-13.4%,-,Groundnut,225.6,"October, 2020"
Belgaum,4048.00,5065.00,-,-20.1%,-,Groundnut,268.1,"September, 2020"
Belgaum,5065.00,5691.00,-,-11.0%,-,Groundnut,427.2,"August, 2020"
Belgaum,5691.00,5204.00,-,+9.4%,-,Groundnut,472.2,"July, 2020"
Belgaum,5204.00,5264.00,-,-1.1%,-,Groundnut,299.7,"June, 2020"
Belgaum,5264.00,5129.00,-,+2.6%,-,Groundnut,31.1,"May, 2020"
Belgaum,5129.00,5399.00,-,-5.0%,-,Groundnut,13.3,"April, 2020"
Belgaum,5399.00,4561.00,-,+18.4%,-,Groundnut,2.4,"March, 2020"
Belgaum,4561.00,3144.00,-,+45.1%,-,Groundnut,2.4,"February, 2020"
Belgaum,3144.00,-,-,-,-,Groundnut,3.5,"January, 2020"


Belgaum,2415.00,2048.00,2000.00,+17.9%,+20.8%,Onion,152.3,"July, 2026"
Belgaum,2048.00,1390.00,1920.00,+47.3%,+6.7%,Onion,131.9,"June, 2026"
Belgaum,1390.00,1185.00,1850.00,+17.3%,-24.9%,Onion,40.0,"May, 2026"
Belgaum,1185.00,1203.00,2180.00,-1.5%,-45.6%,Onion,12.0,"April, 2026"
Belgaum,1203.00,1293.00,2500.00,-7.0%,-51.9%,Onion,2.8,"March, 2026"
Belgaum,1293.00,1708.00,2916.00,-24.3%,-55.7%,Onion,0.8,"February, 2026"
Belgaum,1708.00,2105.00,2947.00,-18.9%,-42.0%,Onion,1.9,"January, 2026"
Belgaum,2105.00,1568.00,3512.00,+34.2%,-40.1%,Onion,0.9,"December, 2025"
Belgaum,1568.00,1950.00,2974.00,-19.6%,-47.3%,Onion,5.9,"November, 2025"
Belgaum,1950.00,2300.00,2793.00,-15.2%,-30.2%,Onion,109.7,"October, 2025"
Belgaum,2300.00,2150.00,4224.00,+7.0%,-45.5%,Onion,218.7,"September, 2025"
Belgaum,2150.00,2000.00,3506.00,+7.5%,-38.7%,Onion,266.1,"August, 2025"
Belgaum,2000.00,1920.00,3058.00,+4.2%,-34.6%,Onion,248.2,"July, 2025"
Belgaum,1920.00,1850.00,2939.00,+3.8%,-34.7%,Onion,243.3,"June, 2025"
Belgaum,1850.00,2180.00,2093.00,-15.1%,-11.6%,Onion,253.2,"May, 2025"
Belgaum,2180.00,2500.00,1672.00,-12.8%,+30.4%,Onion,15.5,"April, 2025"
Belgaum,2500.00,2916.00,1701.00,-14.3%,+47.0%,Onion,1.8,"March, 2025"
Belgaum,2916.00,2947.00,1866.00,-1.1%,+56.3%,Onion,0.0,"February, 2025"
Belgaum,2947.00,3512.00,1946.00,-16.1%,+51.4%,Onion,0.0,"January, 2025"
Belgaum,3512.00,2974.00,3365.00,+18.1%,+4.4%,Onion,15.7,"December, 2024"
Belgaum,2974.00,2793.00,4169.00,+6.5%,-28.7%,Onion,20.6,"November, 2024"
Belgaum,2793.00,4224.00,3337.00,-33.9%,-16.3%,Onion,214.9,"October, 2024"
Belgaum,4224.00,3506.00,2142.00,+20.5%,+97.2%,Onion,140.7,"September, 2024"
Belgaum,3506.00,3058.00,2192.00,+14.6%,+59.9%,Onion,258.5,"August, 2024"
Belgaum,3058.00,2939.00,1575.00,+4.0%,+94.2%,Onion,435.3,"July, 2024"
Belgaum,2939.00,2093.00,1298.00,+40.4%,+126.4%,Onion,235.0,"June, 2024"
Belgaum,2093.00,1672.00,1027.00,+25.2%,+103.8%,Onion,96.1,"May, 2024"
Belgaum,1672.00,1701.00,964.00,-1.7%,+73.4%,Onion,27.4,"April, 2024"
Belgaum,1701.00,1866.00,1020.00,-8.8%,+66.8%,Onion,0.5,"March, 2024"
Belgaum,1866.00,1946.00,1182.00,-4.1%,+57.9%,Onion,0.0,"February, 2024"
Belgaum,1946.00,3365.00,1692.00,-42.2%,+15.0%,Onion,3.1,"January, 2024"
Belgaum,3365.00,4169.00,1785.00,-19.3%,+88.5%,Onion,0.7,"December, 2023"
Belgaum,4169.00,3337.00,1919.00,+24.9%,+117.2%,Onion,45.4,"November, 2023"
Belgaum,3337.00,2142.00,1742.00,+55.8%,+91.6%,Onion,91.7,"October, 2023"
Belgaum,2142.00,2192.00,1515.00,-2.3%,+41.4%,Onion,166.7,"September, 2023"
Belgaum,2192.00,1575.00,1570.00,+39.2%,+39.6%,Onion,74.9,"August, 2023"
Belgaum,1575.00,1298.00,1570.00,+21.3%,+0.3%,Onion,399.1,"July, 2023"
Belgaum,1298.00,1027.00,1578.00,+26.4%,-17.7%,Onion,83.0,"June, 2023"
Belgaum,1027.00,964.00,1119.00,+6.5%,-8.2%,Onion,79.6,"May, 2023"
Belgaum,964.00,1020.00,1273.00,-5.5%,-24.3%,Onion,16.2,"April, 2023"
Belgaum,1020.00,1182.00,1556.00,-13.7%,-34.4%,Onion,1.5,"March, 2023"
Belgaum,1182.00,1692.00,1836.00,-30.1%,-35.6%,Onion,0.0,"February, 2023"
Belgaum,1692.00,1785.00,2374.00,-5.2%,-28.7%,Onion,1.8,"January, 2023"
Belgaum,1785.00,1919.00,2176.00,-7.0%,-18.0%,Onion,25.4,"December, 2022"
Belgaum,1919.00,1742.00,2377.00,+10.2%,-19.3%,Onion,6.5,"November, 2022"
Belgaum,1742.00,1515.00,2315.00,+15.0%,-24.8%,Onion,176.0,"October, 2022"
Belgaum,1515.00,1570.00,1791.00,-3.5%,-15.4%,Onion,183.3,"September, 2022"
Belgaum,1570.00,1570.00,1971.00,0.0%,-20.3%,Onion,279.4,"August, 2022"
Belgaum,1570.00,1578.00,2123.00,-0.5%,-26.1%,Onion,337.3,"July, 2022"
Belgaum,1578.00,1119.00,1869.00,+41.0%,-15.6%,Onion,185.3,"June, 2022"
Belgaum,1119.00,1273.00,1199.00,-12.1%,-6.7%,Onion,296.3,"May, 2022"
Belgaum,1273.00,1556.00,1449.00,-18.2%,-12.1%,Onion,35.6,"April, 2022"
Belgaum,1556.00,1836.00,1797.00,-15.3%,-13.4%,Onion,3.7,"March, 2022"
Belgaum,1836.00,2374.00,3207.00,-22.7%,-42.8%,Onion,0.0,"February, 2022"
Belgaum,2374.00,2176.00,2733.00,+9.1%,-13.1%,Onion,0.6,"January, 2022"
Belgaum,2176.00,2377.00,2912.00,-8.5%,-25.3%,Onion,16.2,"December, 2021"
Belgaum,2377.00,2315.00,3763.00,+2.7%,-36.8%,Onion,107.1,"November, 2021"
Belgaum,2315.00,1791.00,3536.00,+29.3%,-34.5%,Onion,150.3,"October, 2021"
Belgaum,1791.00,1971.00,2183.00,-9.1%,-17.9%,Onion,188.2,"September, 2021"
Belgaum,1971.00,2123.00,1217.00,-7.2%,+62.0%,Onion,129.5,"August, 2021"
Belgaum,2123.00,1869.00,959.00,+13.6%,+121.4%,Onion,493.5,"July, 2021"
Belgaum,1869.00,1199.00,849.00,+55.9%,+120.1%,Onion,578.7,"June, 2021"
Belgaum,1199.00,1449.00,791.00,-17.3%,+51.6%,Onion,186.4,"May, 2021"
Belgaum,1449.00,1797.00,1279.00,-19.4%,+13.3%,Onion,16.5,"April, 2021"
Belgaum,1797.00,3207.00,1814.00,-44.0%,-0.9%,Onion,1.4,"March, 2021"
Belgaum,3207.00,2733.00,2326.00,+17.3%,+37.9%,Onion,1.8,"February, 2021"
Belgaum,2733.00,2912.00,4254.00,-6.1%,-35.8%,Onion,64.2,"January, 2021"
Belgaum,2912.00,3763.00,-,-22.6%,-,Onion,2.5,"December, 2020"
Belgaum,3763.00,3536.00,-,+6.4%,-,Onion,6.4,"November, 2020"
Belgaum,3536.00,2183.00,-,+62.0%,-,Onion,225.6,"October, 2020"
Belgaum,2183.00,1217.00,-,+79.4%,-,Onion,268.1,"September, 2020"
Belgaum,1217.00,959.00,-,+13.0%,-,Onion,427.2,"August, 2020"
Belgaum,959.00,849.00,-,+13.0%,-,Onion,472.2,"July, 2020"
Belgaum,849.00,791.00,-,+7.3%,-,Onion,299.7,"June, 2020"
Belgaum,791.00,1279.00,-,-38.2%,-,Onion,31.1,"May, 2020"
Belgaum,1279.00,1814.00,-,-29.5%,-,Onion,13.3,"April, 2020"
Belgaum,1814.00,2326.00,-,-22.0%,-,Onion,2.4,"March, 2020"
Belgaum,2326.00,4254.00,-,-45.3%,-,Onion,2.4,"February, 2020"
Belgaum,4254.00,-,-,-,-,Onion,3.5,"January, 2020"


Belgaum,1330.00,1440.00,1650.00,-7.6%,-19.4%,Potato,152.3,"July, 2026"
Belgaum,1440.00,1160.00,1620.00,+24.1%,-11.1%,Potato,131.9,"June, 2026"
Belgaum,1160.00,1230.00,1550.00,-5.7%,-25.2%,Potato,40.0,"May, 2026"
Belgaum,1230.00,1195.00,1680.00,+2.9%,-26.8%,Potato,12.0,"April, 2026"
Belgaum,1195.00,1284.00,1800.00,-6.9%,-33.6%,Potato,2.8,"March, 2026"
Belgaum,1284.00,1223.00,1861.00,+5.0%,-31.0%,Potato,0.8,"February, 2026"
Belgaum,1223.00,1478.00,2022.00,-17.3%,-39.5%,Potato,1.9,"January, 2026"
Belgaum,1478.00,1797.00,2414.00,-17.8%,-38.8%,Potato,0.9,"December, 2025"
Belgaum,1797.00,1820.00,3088.00,-1.3%,-41.8%,Potato,5.9,"November, 2025"
Belgaum,1820.00,1780.00,3209.00,+2.2%,-43.3%,Potato,109.7,"October, 2025"
Belgaum,1780.00,1720.00,2630.00,+3.5%,-32.3%,Potato,218.7,"September, 2025"
Belgaum,1720.00,1650.00,2820.00,+4.2%,-39.0%,Potato,266.1,"August, 2025"
Belgaum,1650.00,1620.00,2974.00,+1.9%,-44.5%,Potato,248.2,"July, 2025"
Belgaum,1620.00,1550.00,2859.00,+4.5%,-43.3%,Potato,243.3,"June, 2025"
Belgaum,1550.00,1680.00,2524.00,-7.7%,-38.6%,Potato,253.2,"May, 2025"
Belgaum,1680.00,1800.00,2308.00,-6.7%,-27.2%,Potato,15.5,"April, 2025"
Belgaum,1800.00,1861.00,2097.00,-3.3%,-14.2%,Potato,1.8,"March, 2025"
Belgaum,1861.00,2022.00,1883.00,-8.0%,-1.2%,Potato,0.0,"February, 2025"
Belgaum,2022.00,2414.00,1630.00,-16.2%,+24.0%,Potato,0.0,"January, 2025"
Belgaum,2414.00,3088.00,2226.00,-21.8%,+8.4%,Potato,15.7,"December, 2024"
Belgaum,3088.00,3209.00,2072.00,-3.8%,+49.0%,Potato,20.6,"November, 2024"
Belgaum,3209.00,2630.00,2090.00,+22.0%,+53.5%,Potato,214.9,"October, 2024"
Belgaum,2630.00,2820.00,1986.00,-6.7%,+32.4%,Potato,140.7,"September, 2024"
Belgaum,2820.00,2974.00,1888.00,-5.2%,+49.4%,Potato,258.5,"August, 2024"
Belgaum,2974.00,2859.00,1909.00,+4.0%,+55.8%,Potato,435.3,"July, 2024"
Belgaum,2859.00,2524.00,1981.00,+13.3%,+44.3%,Potato,235.0,"June, 2024"
Belgaum,2524.00,2308.00,1538.00,+9.4%,+64.1%,Potato,96.1,"May, 2024"
Belgaum,2308.00,2097.00,1438.00,+10.1%,+60.5%,Potato,27.4,"April, 2024"
Belgaum,2097.00,1883.00,1400.00,+11.4%,+49.8%,Potato,0.5,"March, 2024"
Belgaum,1883.00,1630.00,1347.00,+15.5%,+39.8%,Potato,0.0,"February, 2024"
Belgaum,1630.00,2226.00,1605.00,-26.8%,+1.6%,Potato,3.1,"January, 2024"
Belgaum,2226.00,2072.00,1922.00,+7.4%,+15.8%,Potato,0.7,"December, 2023"
Belgaum,2072.00,2090.00,2175.00,-0.9%,-4.7%,Potato,45.4,"November, 2023"
Belgaum,2090.00,1986.00,2318.00,+5.2%,-9.8%,Potato,91.7,"October, 2023"
Belgaum,1986.00,1888.00,2088.00,+5.2%,-4.9%,Potato,166.7,"September, 2023"
Belgaum,1888.00,1909.00,2146.00,-1.1%,-12.0%,Potato,74.9,"August, 2023"
Belgaum,1909.00,1981.00,1872.00,-3.6%,+2.0%,Potato,399.1,"July, 2023"
Belgaum,1981.00,1538.00,1893.00,+28.8%,+4.6%,Potato,83.0,"June, 2023"
Belgaum,1538.00,1438.00,1786.00,+7.0%,-13.9%,Potato,79.6,"May, 2023"
Belgaum,1438.00,1400.00,1197.00,+2.7%,+20.1%,Potato,16.2,"April, 2023"
Belgaum,1400.00,1347.00,1463.00,+3.9%,-4.3%,Potato,1.5,"March, 2023"
Belgaum,1347.00,1605.00,1384.00,-16.1%,-2.7%,Potato,0.0,"February, 2023"
Belgaum,1605.00,1922.00,1110.00,-16.5%,+44.6%,Potato,1.8,"January, 2023"
Belgaum,1922.00,2175.00,1418.00,-11.6%,+35.5%,Potato,25.4,"December, 2022"
Belgaum,2175.00,2318.00,1484.00,-6.2%,+46.6%,Potato,6.5,"November, 2022"
Belgaum,2318.00,2088.00,1554.00,+11.0%,+49.2%,Potato,176.0,"October, 2022"
Belgaum,2088.00,2146.00,1493.00,-2.7%,+39.9%,Potato,183.3,"September, 2022"
Belgaum,2146.00,1872.00,1483.00,+14.6%,+44.7%,Potato,279.4,"August, 2022"
Belgaum,1872.00,1893.00,1431.00,-1.1%,+30.8%,Potato,337.3,"July, 2022"
Belgaum,1893.00,1786.00,1515.00,+6.0%,+25.0%,Potato,185.3,"June, 2022"
Belgaum,1786.00,1197.00,1459.00,+49.2%,+22.4%,Potato,296.3,"May, 2022"
Belgaum,1197.00,1463.00,1526.00,-18.2%,-21.6%,Potato,35.6,"April, 2022"
Belgaum,1463.00,1384.00,1547.00,+5.7%,-5.4%,Potato,3.7,"March, 2022"
Belgaum,1384.00,1110.00,2517.00,+24.7%,-45.0%,Potato,0.0,"February, 2022"
Belgaum,1110.00,1418.00,2266.00,-21.7%,-51.0%,Potato,0.6,"January, 2022"
Belgaum,1418.00,1484.00,2547.00,-4.4%,-44.3%,Potato,16.2,"December, 2021"
Belgaum,1484.00,1554.00,2703.00,-4.5%,-45.1%,Potato,107.1,"November, 2021"
Belgaum,1554.00,1493.00,1838.00,+4.1%,-15.5%,Potato,150.3,"October, 2021"
Belgaum,1493.00,1483.00,2520.00,+0.7%,-40.8%,Potato,188.2,"September, 2021"
Belgaum,1483.00,1431.00,2275.00,+3.6%,-34.8%,Potato,129.5,"August, 2021"
Belgaum,1431.00,1515.00,1878.00,-5.5%,-23.8%,Potato,493.5,"July, 2021"
Belgaum,1515.00,1459.00,1619.00,+3.8%,-6.4%,Potato,578.7,"June, 2021"
Belgaum,1459.00,1526.00,1491.00,-4.4%,-2.1%,Potato,186.4,"May, 2021"
Belgaum,1526.00,1547.00,1897.00,-1.4%,-19.6%,Potato,16.5,"April, 2021"
Belgaum,1547.00,2517.00,1695.00,-38.5%,-8.7%,Potato,1.4,"March, 2021"
Belgaum,2517.00,2266.00,1876.00,+11.1%,+34.2%,Potato,1.8,"February, 2021"
Belgaum,2266.00,2547.00,2079.00,-11.0%,+9.0%,Potato,64.2,"January, 2021"
Belgaum,2547.00,2703.00,-,-5.8%,-,Potato,2.5,"December, 2020"
Belgaum,2703.00,1838.00,-,+47.1%,-,Potato,6.4,"November, 2020"
Belgaum,1838.00,2520.00,-,-27.1%,-,Potato,225.6,"October, 2020"
Belgaum,2520.00,2275.00,-,+10.8%,-,Potato,268.1,"September, 2020"
Belgaum,2275.00,1878.00,-,+21.1%,-,Potato,427.2,"August, 2020"
Belgaum,1878.00,1619.00,-,+16.0%,-,Potato,472.2,"July, 2020"
Belgaum,1619.00,1491.00,-,+8.6%,-,Potato,299.7,"June, 2020"
Belgaum,1491.00,1897.00,-,-21.4%,-,Potato,31.1,"May, 2020"
Belgaum,1897.00,1695.00,-,+11.9%,-,Potato,13.3,"April, 2020"
Belgaum,1695.00,1876.00,-,-9.6%,-,Potato,2.4,"March, 2020"
Belgaum,1876.00,2079.00,-,-9.8%,-,Potato,2.4,"February, 2020"
Belgaum,2079.00,-,-,-,-,Potato,3.5,"January, 2020"
